2026-07-11T05:51:40+0200,zaehlerstand,00110.5335,,487.44350,,0.0000,Neg. Rate - Read:  - Raw: 00110.5335 - Pre: 487.4435 ,0.1,9.9,0.9,0.7,0.0,4.8,3.7,3.6,5.0
2026-07-11T05:52:42+0200,zaehlerstand,001NN.4425,,487.44350,,0.0000,Neg. Rate - Read:  - Raw: 001NN.4425 - Pre: 487.4435 ,0,0,1,N,N,4.1,4.3,3.0,5.2
2026-07-11T05:53:38+0200,zaehlerstand,004NN.3424,,487.44350,,0.0000,Neg. Rate - Read:  - Raw: 004NN.3424 - Pre: 487.4435 ,0,0,4,N,N,3.9,4.1,2.5,4.7
2026-07-11T05:54:38+0200,zaehlerstand,0044N.4345,,487.44350,,0.0000,Neg. Rate - Read:  - Raw: 0044N.4345 - Pre: 487.4435 ,0,0,4,4,N,4.1,4.0,4.1,5.7
2026-07-11T05:55:38+0200,zaehlerstand,00110.3435,,487.44350,,0.0000,Neg. Rate - Read:  - Raw: 00110.3435 - Pre: 487.4435 ,0.1,0.3,1.2,1.1,9.7,3.5,4.3,3.2,5.4
2026-07-11T05:56:47+0200,zaehlerstand,00110.4345,,487.44350,,0.0000,Neg. Rate - Read:  - Raw: 00110.4345 - Pre: 487.4435 ,0.1,0.4,1.1,0.9,9.7,3.7,3.8,4.2,5.4
2026-07-11T05:57:58+0200,zaehlerstand,00475.3526,,487.44350,,0.0000,Neg. Rate - Read:  - Raw: 00475.3526 - Pre: 487.4435 ,10.0,0.2,4.4,7.3,5.6,3.8,4.9,2.7,6.5
2026-07-11T05:59:08+0200,zaehlerstand,00010.2425,,487.44350,,0.0000,Neg. Rate - Read:  - Raw: 00010.2425 - Pre: 487.4435 ,0.0,9.9,0.6,0.9,9.8,2.8,3.9,2.6,5.7
2026-07-11T06:00:07+0200,zaehlerstand,00811.3426,,487.44350,,0.0000,Rate too high - Read: 811.3426 - Pre: 487.4435 - Rate: 323.8991,9.9,10.0,7.9,0.8,0.6,3.8,3.8,2.5,6.9
2026-07-11T06:02:09+0200,zaehlerstand,90N1N.4415,,487.44350,,0.0000,Rate too high - Read: 90417.4415 - Pre: 487.4435 - Rate: 89929.9980,9,0,N,1,N,4.5,4.0,1.2,5.2
2026-07-11T06:03:33+0200,zaehlerstand,40N8N.4424,,487.44350,,0.0000,Rate too high - Read: 40487.4424 - Pre: 487.4435 - Rate: 39999.9989,4,0,N,8,N,4.7,3.8,2.5,4.3
2026-07-11T06:07:20+0200,zaehlerstand,90N8N.4333,,487.44350,,0.0000,Rate too high - Read: 90487.4333 - Pre: 487.4435 - Rate: 89999.9898,9,0,N,8,N,4.0,3.7,2.9,3.4
2026-07-11T06:10:15+0200,zaehlerstand,N11NN.3423,,487.44350,,0.0000,Rate too high - Read: 1187.3423 - Pre: 487.4435 - Rate: 699.8988,N,1,1,N,N,3.6,4.6,2.5,4.0
2026-07-11T06:18:19+0200,zaehlerstand,NN1NN.4433,,487.44350,,0.0000,,N,N,1,N,N,4.1,4.5,3.7,3.9
2026-07-11T04:22:29+0000,zaehlerstand,41N17.3414,,487.44350,,0.0000,Rate too high - Read: 41417.3414 - Pre: 487.4435 - Rate: 40929.8979,4,1,N,1,7,3.9,4.4,2.0,4.4
2026-07-11T04:24:31+0000,zaehlerstand,41144.4434,,487.44350,,0.0000,Rate too high - Read: 41144.4434 - Pre: 487.4435 - Rate: 40656.9999,4,1,1,4,4,4.4,3.8,3.9,4.6
2026-07-11T04:28:00+0000,zaehlerstand,4111N.3434,,487.44350,,0.0000,Rate too high - Read: 41117.3434 - Pre: 487.4435 - Rate: 40629.8999,4,1,1,1,N,3.7,4.1,3.5,4.1
2026-07-11T04:31:10+0000,zaehlerstand,4114N.4444,,487.44350,,0.0000,Rate too high - Read: 41147.4444 - Pre: 487.4435 - Rate: 40660.0009,4,1,1,4,N,4.6,4.7,4.1,4.6
2026-07-11T04:33:18+0000,zaehlerstand,0098N.9198,,487.44350,,0.0000,Rate too high - Read: 987.9198 - Pre: 487.4435 - Rate: 500.4763,0,0,9,8,N,9.5,1.4,0.0,8.5
2026-07-11T04:35:08+0000,zaehlerstand,09941.2298,,487.44350,,0.0000,Rate too high - Read: 9941.2298 - Pre: 487.4435 - Rate: 9453.7863,0,9,9,4,1,1.8,3.0,9.6,8.8
2026-07-11T04:39:18+0000,zaehlerstand,01N4N.5466,,487.44350,,0.0000,Rate too high - Read: 1447.5466 - Pre: 487.4435 - Rate: 960.1031,0,1,N,4,N,5.2,4.5,6.0,6.4
2026-07-11T04:41:12+0000,zaehlerstand,00N4N.4456,,487.44350,,0.0000,Neg. Rate - Read:  - Raw: 00N4N.4456 - Pre: 487.4435 ,0,0,N,4,N,4.8,4.7,5.5,6.9
2026-07-11T04:44:57+0000,zaehlerstand,0828N.6456,,487.44350,,0.0000,Rate too high - Read: 8287.6456 - Pre: 487.4435 - Rate: 7800.2021,0,8,2,8,N,6.5,4.2,5.5,6.6
2026-07-11T04:47:38+0000,zaehlerstand,1003N.2466,,487.44350,,0.0000,Rate too high - Read: 10037.2466 - Pre: 487.4435 - Rate: 9549.8031,1,0,0,3,N,2.0,4.6,6.8,6.6
